Name, Count, Total Spent,,,,Type, Count, Total Spent
 PAYU MONEY          ,1,218,,,,,,
 SPENCERS RETAIL LIMI,1,218,,,,,,
 AMMAS PASTRIES      ,1,203,,,,,,
 HM LEISURE          ,1,200,,,,,,
 SHIV SAGAR          ,1,200,,,,,,
 MC DONALDS          ,1,181,,,,,,
 BARISTA COFFEE      ,1,112,,,,,,
 MEDPLUSOPTIVAL − IN,1,102,,,,,,
 CITRUS PAY QUIKR    ,1,97,,,,,,
 SER TAX & CESS 14.5%,4,70,,,,,,
 SER TAX & CESS 15%  ,2,52,,,,,,
 WWW.IRCTC.CO.IN     ,2,-60,,,,,,
 SERVICE TAX REVERSAL,7,-110,,,,,,
 Amazon Cashback Nov1,1,-1500,,,,,,
 Online Payment      ,9,-738300,,,,,,
